fname,fs,alpha,k
63450419_0_8012592961815711786.csv,3,0.004,1
63450419_0_8012592961815711786.csv,4,0.04900000000000004,1
63450419_0_8012592961815711786.csv,5,0.09000000000000007,1
32051842_5_1757891723986774036.csv,1,0.001,2
32051842_5_1757891723986774036.csv,2,0.001,2
32051842_5_1757891723986774036.csv,3,0.001,1
32051842_5_1757891723986774036.csv,4,0.001,1
32051842_5_1757891723986774036.csv,5,0.001,1
88732174_0_7321365014357502211.csv,1,0.001,1
88732174_0_7321365014357502211.csv,2,0.001,1
88732174_0_7321365014357502211.csv,3,0.002,1
88732174_0_7321365014357502211.csv,4,0.03200000000000002,1
88732174_0_7321365014357502211.csv,5,0.060000000000000046,1
98312357_0_6395417306876145729.csv,1,0.001,2
98312357_0_6395417306876145729.csv,2,0.001,2
98312357_0_6395417306876145729.csv,3,0.002,1
98312357_0_6395417306876145729.csv,4,0.10100000000000008,1
98312357_0_6395417306876145729.csv,5,0.18200000000000013,1
75154185_0_1607627349983289012.csv,1,0.001,1
75154185_0_1607627349983289012.csv,2,0.001,1
75154185_0_1607627349983289012.csv,3,0.007,1
75154185_0_1607627349983289012.csv,4,0.1360000000000001,1
75154185_0_1607627349983289012.csv,5,0.23600000000000018,1
74685423_0_8061289760697103949.csv,1,0.001,1
74685423_0_8061289760697103949.csv,2,0.001,1
74685423_0_8061289760697103949.csv,3,0.001,1
74685423_0_8061289760697103949.csv,4,0.023000000000000013,1
74685423_0_8061289760697103949.csv,5,0.04500000000000003,1
4444204_0_951426790527152756.csv,1,0.001,1
4444204_0_951426790527152756.csv,2,0.001,1
4444204_0_951426790527152756.csv,3,0.008,1
4444204_0_951426790527152756.csv,4,0.1470000000000001,1
4444204_0_951426790527152756.csv,5,0.25200000000000017,1
39107734_2_2329160387535788734.csv,1,0.001,2
39107734_2_2329160387535788734.csv,2,0.001,1
39107734_2_2329160387535788734.csv,3,0.001,1
39107734_2_2329160387535788734.csv,4,0.02000000000000001,1
39107734_2_2329160387535788734.csv,5,0.037000000000000026,1
21329809_0_5526008408364682899.csv,1,0.001,1
21329809_0_5526008408364682899.csv,2,0.001,1
21329809_0_5526008408364682899.csv,3,0.010000000000000002,1
21329809_0_5526008408364682899.csv,4,0.17900000000000013,1
21329809_0_5526008408364682899.csv,5,0.2990000000000002,1
8009320_0_5507755752653817624.csv,1,0.001,3
8009320_0_5507755752653817624.csv,2,0.001,3
8009320_0_5507755752653817624.csv,3,0.007,1
8009320_0_5507755752653817624.csv,4,0.16900000000000012,1
8009320_0_5507755752653817624.csv,5,0.2860000000000002,1
90723763_0_874013697986950454.csv,1,0.001,1
90723763_0_874013697986950454.csv,2,0.001,1
90723763_0_874013697986950454.csv,3,0.013000000000000005,1
90723763_0_874013697986950454.csv,4,0.1230000000000001,1
90723763_0_874013697986950454.csv,5,0.21000000000000016,1
86297395_0_6919201319699354263.csv,1,0.001,1
86297395_0_6919201319699354263.csv,2,0.001,1
86297395_0_6919201319699354263.csv,3,0.004,1
86297395_0_6919201319699354263.csv,4,0.1310000000000001,1
86297395_0_6919201319699354263.csv,5,0.23000000000000018,1
29021592_4_4348860179678308511.csv,1,0.001,2
29021592_4_4348860179678308511.csv,2,0.001,2
29021592_4_4348860179678308511.csv,3,0.001,1
29021592_4_4348860179678308511.csv,4,0.001,1
29021592_4_4348860179678308511.csv,5,0.001,1
11688006_0_8123036130090004213.csv,1,0.001,3
11688006_0_8123036130090004213.csv,2,0.001,3
11688006_0_8123036130090004213.csv,3,0.004,1
11688006_0_8123036130090004213.csv,4,0.1390000000000001,1
11688006_0_8123036130090004213.csv,5,0.2410000000000002,1
25404227_0_2240631045609013057.csv,1,0.001,1
25404227_0_2240631045609013057.csv,2,0.001,1
25404227_0_2240631045609013057.csv,3,0.022000000000000013,1
25404227_0_2240631045609013057.csv,4,0.21300000000000016,1
25404227_0_2240631045609013057.csv,5,0.34200000000000025,1
37541068_1_1156932518917623732.csv,1,0.001,1
37541068_1_1156932518917623732.csv,2,0.001,1
37541068_1_1156932518917623732.csv,3,0.002,1
37541068_1_1156932518917623732.csv,4,0.03400000000000002,1
37541068_1_1156932518917623732.csv,5,0.06400000000000004,1
79327346_0_5787863739697336601.csv,1,0.001,1
79327346_0_5787863739697336601.csv,2,0.001,1
79327346_0_5787863739697336601.csv,3,0.002,1
79327346_0_5787863739697336601.csv,4,0.05200000000000004,1
79327346_0_5787863739697336601.csv,5,0.09700000000000007,1
39759273_0_1427898308030295194.csv,1,0.001,1
39759273_0_1427898308030295194.csv,2,0.001,1
39759273_0_1427898308030295194.csv,3,0.01900000000000001,1
39759273_0_1427898308030295194.csv,4,0.19000000000000014,1
39759273_0_1427898308030295194.csv,5,0.3110000000000002,1
14380604_4_3329235705746762392.csv,1,0.001,1
14380604_4_3329235705746762392.csv,2,0.001,1
14380604_4_3329235705746762392.csv,3,0.013000000000000005,1
14380604_4_3329235705746762392.csv,4,0.1220000000000001,1
14380604_4_3329235705746762392.csv,5,0.21000000000000016,1
26310680_0_5150772059999313798.csv,1,0.001,23
26310680_0_5150772059999313798.csv,2,0.001,22
26310680_0_5150772059999313798.csv,3,0.007,7
26310680_0_5150772059999313798.csv,4,0.44500000000000034,13
26310680_0_5150772059999313798.csv,5,0.6150000000000004,14
71840765_0_6664391841933033844.csv,1,0.001,2
71840765_0_6664391841933033844.csv,2,0.001,2
71840765_0_6664391841933033844.csv,3,0.001,1
71840765_0_6664391841933033844.csv,4,0.015000000000000006,1
71840765_0_6664391841933033844.csv,5,0.02900000000000002,1
12271141_0_8517913935669973086.csv,1,0.001,1
12271141_0_8517913935669973086.csv,2,0.001,1
12271141_0_8517913935669973086.csv,3,0.009000000000000001,1
12271141_0_8517913935669973086.csv,4,0.09200000000000007,1
12271141_0_8517913935669973086.csv,5,0.16200000000000012,1
29414811_2_4773219892816395776.csv,1,0.001,1
29414811_2_4773219892816395776.csv,2,0.001,1
29414811_2_4773219892816395776.csv,3,0.002,1
29414811_2_4773219892816395776.csv,4,0.026000000000000016,1
29414811_2_4773219892816395776.csv,5,0.04900000000000004,1
45073662_0_3179937335063201739.csv,1,0.001,1
45073662_0_3179937335063201739.csv,2,0.001,1
45073662_0_3179937335063201739.csv,3,0.002,1
45073662_0_3179937335063201739.csv,4,0.04100000000000003,1
45073662_0_3179937335063201739.csv,5,0.07700000000000005,1
29412826_0_3422707769191426540.csv,1,0.001,2
29412826_0_3422707769191426540.csv,2,0.001,1
29412826_0_3422707769191426540.csv,3,0.001,1
29412826_0_3422707769191426540.csv,4,0.001,1
29412826_0_3422707769191426540.csv,5,0.001,1
19272019_0_1508498249156534553.csv,1,0.001,2
19272019_0_1508498249156534553.csv,2,0.001,2
19272019_0_1508498249156534553.csv,3,0.003,1
19272019_0_1508498249156534553.csv,4,0.04900000000000004,1
19272019_0_1508498249156534553.csv,5,0.09200000000000007,1
37815699_0_8391788584341609964.csv,1,0.025000000000000015,1
37815699_0_8391788584341609964.csv,2,0.048000000000000036,1
37815699_0_8391788584341609964.csv,3,0.20700000000000016,1
37815699_0_8391788584341609964.csv,4,0.36600000000000027,1
37815699_0_8391788584341609964.csv,5,0.47200000000000036,1
41480166_0_6681239260286218499.csv,1,0.001,2
41480166_0_6681239260286218499.csv,2,0.001,2
41480166_0_6681239260286218499.csv,3,0.001,2
41480166_0_6681239260286218499.csv,4,0.037000000000000026,2
41480166_0_6681239260286218499.csv,5,0.07100000000000005,2
