fname,fs,alpha,k
14380604_4_3329235705746762392.csv,2,4,0.9840000000000008,5
14380604_4_3329235705746762392.csv,2,5,0.9910000000000008,5
40534006_0_4617468856744635526.csv,1,0.001,1
40534006_0_4617468856744635526.csv,2,0.001,1
40534006_0_4617468856744635526.csv,3,0.001,1
40534006_0_4617468856744635526.csv,4,0.014000000000000005,1
40534006_0_4617468856744635526.csv,5,0.026000000000000016,1
29414811_13_8724394428539174350.csv,1,0.001,1
29414811_13_8724394428539174350.csv,2,0.001,1
29414811_13_8724394428539174350.csv,3,0.008,1
29414811_13_8724394428539174350.csv,4,0.07700000000000005,1
29414811_13_8724394428539174350.csv,5,0.1370000000000001,1
1438042986423_95_20150728002306-00125-ip-10-236-191-2_88435628_5.csv,1,0.001,1
1438042986423_95_20150728002306-00125-ip-10-236-191-2_88435628_5.csv,2,0.001,1
1438042986423_95_20150728002306-00125-ip-10-236-191-2_88435628_5.csv,3,0.001,1
1438042986423_95_20150728002306-00125-ip-10-236-191-2_88435628_5.csv,4,0.03400000000000002,1
1438042986423_95_20150728002306-00125-ip-10-236-191-2_88435628_5.csv,5,0.06400000000000004,1
84548468_0_5955155464119382182.csv,1,0.001,1
84548468_0_5955155464119382182.csv,2,0.001,1
84548468_0_5955155464119382182.csv,3,0.02100000000000001,1
84548468_0_5955155464119382182.csv,4,0.20800000000000016,1
84548468_0_5955155464119382182.csv,5,0.33600000000000024,1
8468806_0_4382447409703007384.csv,2,1,0.001,3
8468806_0_4382447409703007384.csv,2,2,0.001,3
8468806_0_4382447409703007384.csv,3,0.008,1
8468806_0_4382447409703007384.csv,2,4,0.20000000000000015,2
8468806_0_4382447409703007384.csv,2,5,0.32900000000000024,2
35188621_0_6058553107571275232.csv,1,0.001,1
35188621_0_6058553107571275232.csv,2,0.001,1
35188621_0_6058553107571275232.csv,3,0.027000000000000017,1
35188621_0_6058553107571275232.csv,4,0.2470000000000002,1
35188621_0_6058553107571275232.csv,5,0.3870000000000003,1
22864497_0_8632623712684511496.csv,1,0.001,1
22864497_0_8632623712684511496.csv,2,0.001,1
22864497_0_8632623712684511496.csv,3,0.002,1
22864497_0_8632623712684511496.csv,4,0.03200000000000002,1
22864497_0_8632623712684511496.csv,5,0.06100000000000005,1
1438042989018_40_20150728002309-00067-ip-10-236-191-2_57714692_2.csv,1,0.001,1
1438042989018_40_20150728002309-00067-ip-10-236-191-2_57714692_2.csv,2,0.001,1
1438042989018_40_20150728002309-00067-ip-10-236-191-2_57714692_2.csv,3,0.012000000000000004,1
1438042989018_40_20150728002309-00067-ip-10-236-191-2_57714692_2.csv,4,0.2570000000000002,1
1438042989018_40_20150728002309-00067-ip-10-236-191-2_57714692_2.csv,5,0.4050000000000003,1
14067031_0_559833072073397908.csv,1,0.001,1
14067031_0_559833072073397908.csv,2,0.001,1
14067031_0_559833072073397908.csv,3,0.008,1
14067031_0_559833072073397908.csv,4,0.1460000000000001,1
14067031_0_559833072073397908.csv,5,0.25100000000000017,1
29414811_12_251152470253168163.csv,2,1,0.001,2
29414811_12_251152470253168163.csv,2,2,0.001,2
29414811_12_251152470253168163.csv,2,3,0.001,2
29414811_12_251152470253168163.csv,2,4,0.03000000000000002,2
29414811_12_251152470253168163.csv,2,5,0.057000000000000044,2
88523363_0_8180214313099580515.csv,1,0.003,1
88523363_0_8180214313099580515.csv,2,0.005,1
88523363_0_8180214313099580515.csv,3,0.09300000000000007,1
88523363_0_8180214313099580515.csv,4,0.2800000000000002,1
88523363_0_8180214313099580515.csv,5,0.4020000000000003,1
28086084_0_3127660530989916727.csv,0,1,0.001,2
28086084_0_3127660530989916727.csv,0,2,0.001,2
28086084_0_3127660530989916727.csv,0,3,0.001,2
28086084_0_3127660530989916727.csv,0,4,0.037000000000000026,2
28086084_0_3127660530989916727.csv,0,5,0.07100000000000005,2
50245608_0_871275842592178099.csv,1,0.001,1
50245608_0_871275842592178099.csv,2,0.001,1
50245608_0_871275842592178099.csv,3,0.017000000000000008,1
50245608_0_871275842592178099.csv,4,0.25200000000000017,1
50245608_0_871275842592178099.csv,5,0.3960000000000003,1
9834884_0_3871985887467090123.csv,1,1,0.001,2
9834884_0_3871985887467090123.csv,2,0.001,1
9834884_0_3871985887467090123.csv,3,0.001,1
9834884_0_3871985887467090123.csv,4,0.022000000000000013,1
9834884_0_3871985887467090123.csv,5,0.04200000000000003,1
69881946_0_1105130426898457358.csv,1,0.001,1
69881946_0_1105130426898457358.csv,2,0.001,1
69881946_0_1105130426898457358.csv,3,0.024000000000000014,1
69881946_0_1105130426898457358.csv,4,0.22900000000000018,1
69881946_0_1105130426898457358.csv,5,0.36400000000000027,1
25404227_0_2240631045609013057.csv,1,0.001,1
25404227_0_2240631045609013057.csv,2,0.001,1
25404227_0_2240631045609013057.csv,3,0.022000000000000013,1
25404227_0_2240631045609013057.csv,4,0.21300000000000016,1
