fname,colid,fsid,from_alpha,to_alpha
24142265_0_4577466141408796359.csv,5,4,0.01100,0.72200
24142265_0_4577466141408796359.csv,5,5,0.02100,0.81600
53989675_0_8697482470743954630.csv,0,1,0.00100,0.00100
53989675_0_8697482470743954630.csv,0,2,0.00100,0.00300
53989675_0_8697482470743954630.csv,0,3,0.00300,0.36500
53989675_0_8697482470743954630.csv,0,4,0.05100,0.59200
53989675_0_8697482470743954630.csv,0,5,0.09600,0.69600
19361188_0_1640726405141876003.csv,0,1,0.00100,0.44400
19361188_0_1640726405141876003.csv,0,2,0.00100,0.61400
19361188_0_1640726405141876003.csv,0,3,0.00100,0.91100
19361188_0_1640726405141876003.csv,0,4,0.01300,0.92900
19361188_0_1640726405141876003.csv,0,5,0.02500,0.92700
43226272_0_5995103035300388365.csv,1,1,0.00100,0.00100
43226272_0_5995103035300388365.csv,1,2,0.00100,0.00200
43226272_0_5995103035300388365.csv,1,3,0.00100,0.30000
43226272_0_5995103035300388365.csv,1,4,0.00100,0.82900
43226272_0_5995103035300388365.csv,1,5,0.00100,0.84100
3887681_0_7938589465814037992.csv,0,1,-1.00000,-1.00000
3887681_0_7938589465814037992.csv,0,2,0.00100,0.00100
3887681_0_7938589465814037992.csv,0,3,0.00500,0.14100
3887681_0_7938589465814037992.csv,0,4,0.13900,0.56000
3887681_0_7938589465814037992.csv,0,5,0.24200,0.65400
78005071_0_8643954006825971723.csv,0,1,0.00100,0.84400
78005071_0_8643954006825971723.csv,0,2,0.00100,0.84400
78005071_0_8643954006825971723.csv,0,3,0.00100,0.84400
78005071_0_8643954006825971723.csv,0,4,0.00800,0.84100
78005071_0_8643954006825971723.csv,0,5,0.01500,0.83700
13719111_1_5719401842463579519.csv,0,1,0.00100,0.02400
13719111_1_5719401842463579519.csv,0,2,0.00100,0.04700
13719111_1_5719401842463579519.csv,0,3,0.00100,0.67000
13719111_1_5719401842463579519.csv,0,4,0.00100,0.92000
13719111_1_5719401842463579519.csv,0,5,0.00100,0.95400
84548468_0_5955155464119382182.csv,1,1,0.00100,0.00500
84548468_0_5955155464119382182.csv,1,2,0.00100,0.01000
