fname,colid,fs,alpha,k
2000%E2%80%9301_Coppa_Italia#0.csv,0,3,0.009000000000000001,1
2000%E2%80%9301_Coppa_Italia#0.csv,0,4,0.11500000000000009,1
2000%E2%80%9301_Coppa_Italia#0.csv,0,5,0.20100000000000015,1
Carl_Valentine#0.csv,2,1,0.001,1
Carl_Valentine#0.csv,2,2,0.001,1
Carl_Valentine#0.csv,2,3,0.004,1
Carl_Valentine#0.csv,2,4,0.05400000000000004,1
Carl_Valentine#0.csv,2,5,0.09900000000000007,1
Matt_Hannon#0.csv,1,1,0.001,1
Matt_Hannon#0.csv,1,2,0.001,1
Matt_Hannon#0.csv,1,3,0.015000000000000006,1
Matt_Hannon#0.csv,1,4,0.10800000000000008,1
Matt_Hannon#0.csv,1,5,0.18500000000000014,1
G%C3%A9raldine_Baz%C3%A1n#1.csv,1,1,0.001,1
G%C3%A9raldine_Baz%C3%A1n#1.csv,1,2,0.001,1
G%C3%A9raldine_Baz%C3%A1n#1.csv,1,3,0.003,1
G%C3%A9raldine_Baz%C3%A1n#1.csv,1,4,0.058000000000000045,1
G%C3%A9raldine_Baz%C3%A1n#1.csv,1,5,0.10600000000000008,1
2013_BMW_PGA_Championship#0.csv,0,1,0.001,1
2013_BMW_PGA_Championship#0.csv,0,2,0.001,1
2013_BMW_PGA_Championship#0.csv,0,3,0.001,1
2013_BMW_PGA_Championship#0.csv,0,4,0.001,1
2013_BMW_PGA_Championship#0.csv,0,5,0.001,1
List_of_Guitar_Freaks_and_Drum_Mania_songs#66.csv,0,1,0.001,1
List_of_Guitar_Freaks_and_Drum_Mania_songs#66.csv,0,2,0.001,1
List_of_Guitar_Freaks_and_Drum_Mania_songs#66.csv,0,3,0.012000000000000004,1
List_of_Guitar_Freaks_and_Drum_Mania_songs#66.csv,0,4,0.16400000000000012,1
List_of_Guitar_Freaks_and_Drum_Mania_songs#66.csv,0,5,0.2750000000000002,1
1917%E2%80%9318_in_English_football#0.csv,0,1,0.001,1
1917%E2%80%9318_in_English_football#0.csv,0,2,0.001,1
1917%E2%80%9318_in_English_football#0.csv,0,3,0.001,1
1917%E2%80%9318_in_English_football#0.csv,0,4,0.001,1
1917%E2%80%9318_in_English_football#0.csv,0,5,0.001,1
2013_Blues_season#0.csv,1,1,0.001,1
2013_Blues_season#0.csv,1,2,0.001,1
2013_Blues_season#0.csv,1,3,0.001,1
2013_Blues_season#0.csv,1,4,0.005,1
2013_Blues_season#0.csv,1,5,0.009000000000000001,1
2011_Southeastern_Conference_football_season#6.csv,2,1,0.001,1
2011_Southeastern_Conference_football_season#6.csv,2,2,0.001,1
2011_Southeastern_Conference_football_season#6.csv,2,3,0.002,1
2011_Southeastern_Conference_football_season#6.csv,2,4,0.04400000000000003,1
2011_Southeastern_Conference_football_season#6.csv,2,5,0.08400000000000006,1
List_of_tallest_buildings_in_Aurora,_Colorado#0.csv,1,1,0.001,2
List_of_tallest_buildings_in_Aurora,_Colorado#0.csv,1,2,0.001,2
List_of_tallest_buildings_in_Aurora,_Colorado#0.csv,1,3,0.001,2
List_of_tallest_buildings_in_Aurora,_Colorado#0.csv,1,4,0.001,2
List_of_tallest_buildings_in_Aurora,_Colorado#0.csv,1,5,0.001,2
2011%E2%80%9312_Columbus_Blue_Jackets_season#4.csv,0,1,0.07500000000000005,1
2011%E2%80%9312_Columbus_Blue_Jackets_season#4.csv,0,2,0.1370000000000001,1
2011%E2%80%9312_Columbus_Blue_Jackets_season#4.csv,0,3,0.45300000000000035,1
2011%E2%80%9312_Columbus_Blue_Jackets_season#4.csv,0,4,0.6450000000000005,3
2011%E2%80%9312_Columbus_Blue_Jackets_season#4.csv,0,5,0.7370000000000005,3
2014_Dhivehi_League#8.csv,1,1,0.001,1
2014_Dhivehi_League#8.csv,1,2,0.001,1
2014_Dhivehi_League#8.csv,1,3,0.001,1
2014_Dhivehi_League#8.csv,1,4,0.001,1
2014_Dhivehi_League#8.csv,1,5,0.001,1
Peter_Mullan#0.csv,1,1,0.001,1
Peter_Mullan#0.csv,1,2,0.001,1
Peter_Mullan#0.csv,1,3,0.037000000000000026,1
Peter_Mullan#0.csv,1,4,0.2840000000000002,1
Peter_Mullan#0.csv,1,5,0.43300000000000033,1
National_Register_of_Historic_Places_listings_in_Alabama#Chilton_County#19.csv,1,1,0.001,1
National_Register_of_Historic_Places_listings_in_Alabama#Chilton_County#19.csv,1,2,0.001,1
National_Register_of_Historic_Places_listings_in_Alabama#Chilton_County#19.csv,1,3,0.001,1
National_Register_of_Historic_Places_listings_in_Alabama#Chilton_County#19.csv,1,4,0.001,1
National_Register_of_Historic_Places_listings_in_Alabama#Chilton_County#19.csv,1,5,0.001,1
Raymond_Floyd#1.csv,2,1,0.001,1
Raymond_Floyd#1.csv,2,2,0.001,1
Raymond_Floyd#1.csv,2,3,0.001,1
Raymond_Floyd#1.csv,2,4,0.001,1
Raymond_Floyd#1.csv,2,5,0.001,1
1994_Grambling_State_Tigers_football_team#0.csv,1,1,0.01800000000000001,5
1994_Grambling_State_Tigers_football_team#0.csv,1,2,0.035000000000000024,5
1994_Grambling_State_Tigers_football_team#0.csv,1,3,0.4260000000000003,5
1994_Grambling_State_Tigers_football_team#0.csv,1,4,0.001,6
1994_Grambling_State_Tigers_football_team#0.csv,1,5,0.001,6
1934_FIFA_World_Cup_qualification#7.csv,1,1,0.008,1
1934_FIFA_World_Cup_qualification#7.csv,1,2,0.015000000000000006,1
1934_FIFA_World_Cup_qualification#7.csv,1,3,0.22900000000000018,1
1934_FIFA_World_Cup_qualification#7.csv,1,4,0.5010000000000003,1
1934_FIFA_World_Cup_qualification#7.csv,1,5,0.6310000000000004,2
Anupam_Bhattacharya#1.csv,1,1,0.009000000000000001,1
Anupam_Bhattacharya#1.csv,1,2,0.01800000000000001,1
Anupam_Bhattacharya#1.csv,1,3,0.035000000000000024,1
Anupam_Bhattacharya#1.csv,1,4,0.3940000000000003,1
Anupam_Bhattacharya#1.csv,1,5,0.5180000000000003,1
Federal_Correctional_Institution,_Fort_Dix#0.csv,0,1,0.001,1
Federal_Correctional_Institution,_Fort_Dix#0.csv,0,2,0.001,1
Federal_Correctional_Institution,_Fort_Dix#0.csv,0,3,0.001,1
Federal_Correctional_Institution,_Fort_Dix#0.csv,0,4,0.001,1
Federal_Correctional_Institution,_Fort_Dix#0.csv,0,5,0.001,1
2009_Malaysia_Cup#0.csv,0,1,0.001,1
2009_Malaysia_Cup#0.csv,0,2,0.001,1
2009_Malaysia_Cup#0.csv,0,3,0.012000000000000004,1
2009_Malaysia_Cup#0.csv,0,4,0.1480000000000001,1
2009_Malaysia_Cup#0.csv,0,5,0.25100000000000017,1
U.S._Catanzaro_1929#2.csv,0,1,0.036000000000000025,1
U.S._Catanzaro_1929#2.csv,0,2,0.06900000000000005,1
U.S._Catanzaro_1929#2.csv,0,3,0.2770000000000002,1
U.S._Catanzaro_1929#2.csv,0,4,0.46100000000000035,1
U.S._Catanzaro_1929#2.csv,0,5,0.5700000000000004,1
1903%E2%80%9304_Swiss_Serie_A#1.csv,1,1,0.001,1
1903%E2%80%9304_Swiss_Serie_A#1.csv,1,2,0.001,1
